isin,name,ticker,sector,geography,5y_sharpe
15065,Simulated Security 15065,XIGA,Industrials,United States,-0.575820444
15066,Simulated Security 15066,IGA,Technology,United States,1.889453967
15067,Simulated Security 15067,GA,Technology,United States,0.799789462
15068,Simulated Security 15068,A,Technology,Canada,2.625694218
15069,Simulated Security 15069,Y,Industrials,Canada,-1.462291473
15070,Simulated Security 15070,IWC,Financials,United States,5.494994593
15071,Simulated Security 15071,WCO,Technology,Canada,14.20842006
15072,Simulated Security 15072,C,Industrials,Canada,0.441422828
15073,Simulated Security 15073,OIDA,Industrials,United States,-1.044067795
15074,Simulated Security 15074,IDA,Technology,United States,4.99801201
15075,Simulated Security 15075,D,Technology,Canada,8.176943016
15076,Simulated Security 15076,A,Financials,Canada,1.927699777
15077,Simulated Security 15077,WIT,Industrials,Canada,-1.010685605
15078,Simulated Security 15078,ITY,Financials,Canada,-0.648515404
15079,Simulated Security 15079,TYG,Financials,United States,27.64230445
15080,Simulated Security 15080,YGPS,Technology,Canada,4.880779011
15081,Simulated Security 15081,GP,Industrials,Canada,1.554430053
15082,Simulated Security 15082,PSAF,Financials,United States,-1.477370103
15083,Simulated Security 15083,SAF,Technology,United States,0.501043846
15084,Simulated Security 15084,A,Technology,Canada,-2.232532302
15085,Simulated Security 15085,FV,Financials,Canada,-1.323306121
15086,Simulated Security 15086,VKE,Industrials,United States,-0.536121689
15087,Simulated Security 15087,KEE,Technology,United States,-0.327705771
15088,Simulated Security 15088,EE,Technology,Canada,1.788971452
15089,Simulated Security 15089,ER,Financials,United States,-0.916634701
15090,Simulated Security 15090,RVYE,Financials,Canada,-0.925986139
15091,Simulated Security 15091,V,Industrials,United States,-0.626661162
15092,Simulated Security 15092,YENA,Technology,Canada,0.122882475
15093,Simulated Security 15093,EN,Industrials,United States,12.66148356
15094,Simulated Security 15094,NAZD,Technology,United States,4.916294406
15095,Simulated Security 15095,A,Financials,United States,1.951630147
15096,Simulated Security 15096,Z,Technology,Canada,2.762395196
15097,Simulated Security 15097,D,Industrials,Canada,3.49216156
15098,Simulated Security 15098,OIFI,Industrials,United States,4.96248073
15099,Simulated Security 15099,IFI,Technology,Canada,4.656410882
15100,Simulated Security 15100,FI,Industrials,United States,7.448761039
15101,Simulated Security 15101,IAT,Technology,United States,-0.811292214
15102,Simulated Security 15102,A,Financials,Canada,-28.81739536
15103,Simulated Security 15103,T,Industrials,United States,-0.512014973
15104,Simulated Security 15104,JBA,Technology,United States,-0.314310888
15105,Simulated Security 15105,B,Technology,Canada,1.301707247
15106,Simulated Security 15106,A,Industrials,United States,-2.393355501
15107,Simulated Security 15107,IDB,Technology,United States,9.951807369
15108,Simulated Security 15108,D,Technology,United States,-0.378980628
15109,Simulated Security 15109,B,Technology,United States,5.212800942
15110,Simulated Security 15110,B,Technology,Canada,-0.011369918
15111,Simulated Security 15111,D,Industrials,United States,9.820527742
15112,Simulated Security 15112,LYB,Technology,United States,-1.370067648
15113,Simulated Security 15113,Y,Technology,United States,21.13237853
15114,Simulated Security 15114,B,Financials,Canada,-0.153898324
15115,Simulated Security 15115,RJ,Industrials,Canada,5.288206114
15116,Simulated Security 15116,JTP,Financials,Canada,3.147882666
15117,Simulated Security 15117,TPCX,Industrials,United States,4.687973251
15118,Simulated Security 15118,PCXX,Technology,United States,-1.22119759
15119,Simulated Security 15119,C,Financials,United States,0.619853052
15120,Simulated Security 15120,XX,Financials,Canada,0.56207376
15121,Simulated Security 15121,X,Financials,Canada,4.969301604
15122,Simulated Security 15122,ZWT,Financials,United States,0.953582262
15123,Simulated Security 15123,WTE,Financials,United States,19.07526989
15124,Simulated Security 15124,T,Technology,Canada,-1.802442183
15125,Simulated Security 15125,EO,Industrials,Canada,3.33816018
15126,Simulated Security 15126,OYMK,Industrials,Canada,6.949684064
15127,Simulated Security 15127,YMK,Industrials,Canada,3.757657586
15128,Simulated Security 15128,MKPZ,Industrials,Canada,2.197353424
15129,Simulated Security 15129,KPZ,Industrials,Canada,-0.88242786
15130,Simulated Security 15130,PZHG,Financials,United States,3.453370194
15131,Simulated Security 15131,ZHGW,Technology,United States,-0.874354567
15132,Simulated Security 15132,HG,Technology,Canada,6.010894291
15133,Simulated Security 15133,GW,Financials,United States,-1.544408018
15134,Simulated Security 15134,WRBC,Financials,United States,0.774878011
15135,Simulated Security 15135,R,Technology,United States,1.509257784
15136,Simulated Security 15136,B,Technology,Canada,3.312604838
15137,Simulated Security 15137,C,Industrials,Canada,-4.7969562
15138,Simulated Security 15138,OJFG,Industrials,United States,-1.982901585
15139,Simulated Security 15139,JFG,Technology,United States,1.355693092
15140,Simulated Security 15140,FG,Technology,Canada,2.037551181
15141,Simulated Security 15141,GT,Financials,United States,2.679075483
15142,Simulated Security 15142,TVIH,Financials,Canada,46.44160977
15143,Simulated Security 15143,VI,Industrials,United States,5.031487258
15144,Simulated Security 15144,IHO,Technology,Canada,-1.644329431
15145,Simulated Security 15145,HO,Industrials,United States,8.737399735
15146,Simulated Security 15146,OBAO,Technology,United States,0.249721351
15147,Simulated Security 15147,B,Technology,Canada,0.431764724
15148,Simulated Security 15148,A,Industrials,Canada,-6.425728984
15149,Simulated Security 15149,ORPW,Financials,Canada,5.654675897
15150,Simulated Security 15150,RPW,Industrials,Canada,-0.971516471
15151,Simulated Security 15151,PWVX,Financials,Canada,0.446609534
15152,Simulated Security 15152,WVX,Financials,United States,-1.256581337
15153,Simulated Security 15153,VXAB,Financials,United States,-1.446631208
15154,Simulated Security 15154,XA,Technology,United States,-1.035931599
15155,Simulated Security 15155,A,Technology,United States,-1.214136991
15156,Simulated Security 15156,B,Technology,United States,4.052080941
15157,Simulated Security 15157,B,Technology,United States,-0.999430288
15158,Simulated Security 15158,A,Technology,Canada,1.814475743
15159,Simulated Security 15159,GK,Industrials,United States,5.997811945
15160,Simulated Security 15160,KSR,Financials,Canada,-0.69524702
15161,Simulated Security 15161,S,Financials,Canada,-0.931069282
15162,Simulated Security 15162,RVI,Financials,Canada,3.854820422
15163,Simulated Security 15163,VIV,Industrials,United States,-1.370255913
15164,Simulated Security 15164,IVW,Financials,Canada,-2.039552401
15165,Simulated Security 15165,VW,Financials,United States,-1.008712273
15166,Simulated Security 15166,WRX,Financials,United States,-0.749288313
15167,Simulated Security 15167,RX,Financials,United States,-1.96506169
15168,Simulated Security 15168,XG,Technology,United States,-0.345551398
15169,Simulated Security 15169,GY,Technology,Canada,2.825352839
15170,Simulated Security 15170,Y,Financials,Canada,-0.721374738
15171,Simulated Security 15171,XRY,Financials,Canada,6.42187803
15172,Simulated Security 15172,RYOQ,Industrials,Canada,27.09386342
15173,Simulated Security 15173,YOQ,Industrials,United States,10.06990554
15174,Simulated Security 15174,OQRL,Financials,United States,-0.420307991
15175,Simulated Security 15175,QR,Financials,Canada,4.337792627
15176,Simulated Security 15176,RL,Industrials,United States,1.660181507
15177,Simulated Security 15177,LHT,Technology,United States,4.225490171
15178,Simulated Security 15178,HT,Financials,Canada,7.449590708
15179,Simulated Security 15179,T,Industrials,Canada,1.40989233
15180,Simulated Security 15180,LRD,Financials,United States,1.825087224
15181,Simulated Security 15181,RDJZ,Technology,Canada,-0.5314921
15182,Simulated Security 15182,D,Industrials,Canada,4.02567724
15183,Simulated Security 15183,JZH,Financials,United States,-1.755676094
15184,Simulated Security 15184,ZHPS,Technology,Canada,-1.320144057
15185,Simulated Security 15185,HP,Industrials,Canada,0.963757857
15186,Simulated Security 15186,PSJM,Financials,Canada,-1.173185297
15187,Simulated Security 15187,SJMI,Industrials,Canada,-0.652787164
15188,Simulated Security 15188,JMI,Industrials,Canada,9.528824745
15189,Simulated Security 15189,MIYP,Industrials,United States,5.794167306
15190,Simulated Security 15190,IYP,Technology,Canada,10.95689575
15191,Simulated Security 15191,Y,Industrials,United States,1.96007866
15192,Simulated Security 15192,PTCU,Financials,United States,9.835681938
15193,Simulated Security 15193,T,Technology,Canada,-1.082601804
15194,Simulated Security 15194,C,Financials,United States,-0.401695252
15195,Simulated Security 15195,UXJ,Financials,Canada,-0.695966052
15196,Simulated Security 15196,X,Industrials,United States,-1.279380236
15197,Simulated Security 15197,JHE,Technology,United States,2.783643967
15198,Simulated Security 15198,HE,Technology,United States,3.164432378
15199,Simulated Security 15199,ES,Financials,United States,2.661900682
15200,Simulated Security 15200,S,Financials,Canada,0.524000364
15201,Simulated Security 15201,V,Financials,Canada,-1.000539688
15202,Simulated Security 15202,SWS,Financials,Canada,-0.599260216
15203,Simulated Security 15203,WSXS,Financials,Canada,-0.531064083
15204,Simulated Security 15204,SXS,Financials,Canada,-0.912358724
15205,Simulated Security 15205,XSGU,Financials,United States,4.574175489
15206,Simulated Security 15206,SGU,Technology,Canada,0.46937532
15207,Simulated Security 15207,GU,Financials,Canada,-1.070530796
15208,Simulated Security 15208,UOKV,Industrials,Canada,-1.060106398
15209,Simulated Security 15209,OKVP,Industrials,United States,5.905271067
15210,Simulated Security 15210,KVP,Financials,Canada,3.136026165
15211,Simulated Security 15211,VP,Industrials,United States,-0.443080813
15212,Simulated Security 15212,PVZS,Financials,Canada,-0.69475564
15213,Simulated Security 15213,VZ,Industrials,Canada,1.755018578
15214,Simulated Security 15214,ZSB,Financials,United States,-0.701512932
15215,Simulated Security 15215,SBCA,Technology,United States,1.494486401
15216,Simulated Security 15216,B,Technology,United States,-0.227007879
15217,Simulated Security 15217,C,Technology,Canada,1.887147973
15218,Simulated Security 15218,A,Industrials,Canada,0.511536358
15219,Simulated Security 15219,JMJ,Industrials,Canada,0.177311438
15220,Simulated Security 15220,MJSQ,Industrials,Canada,-1.290863576
15221,Simulated Security 15221,JSQ,Financials,Canada,1.577321098
15222,Simulated Security 15222,SQWF,Financials,Canada,3.006906102
15223,Simulated Security 15223,QWFF,Financials,United States,-1.280142509
15224,Simulated Security 15224,WFFR,Technology,United States,0.490173067
15225,Simulated Security 15225,FF,Technology,Canada,0.827047649
15226,Simulated Security 15226,FR,Financials,United States,6.037011979
15227,Simulated Security 15227,RDA,Technology,United States,13.23864594
15228,Simulated Security 15228,D,Technology,Canada,0.467689428
15229,Simulated Security 15229,A,Industrials,United States,-18.32555243
15230,Simulated Security 15230,PUSE,Financials,Canada,-0.377429134
15231,Simulated Security 15231,US,Financials,United States,0.703384657
15232,Simulated Security 15232,SEQV,Technology,Canada,4.426155858
15233,Simulated Security 15233,EQ,Financials,United States,4.408411219
15234,Simulated Security 15234,QVV,Financials,United States,1.410471185
15235,Simulated Security 15235,VV,Financials,United States,2.481594264
15236,Simulated Security 15236,VD,Technology,Canada,-0.810381187
15237,Simulated Security 15237,D,Industrials,United States,2.714366164
15238,Simulated Security 15238,LBG,Technology,United States,0.215400968
15239,Simulated Security 15239,B,Technology,Canada,-3.160459387
15240,Simulated Security 15240,GN,Industrials,Canada,0.971876706
15241,Simulated Security 15241,NJRO,Industrials,United States,0.473400754
15242,Simulated Security 15242,JRO,Financials,Canada,-1.538178021
15243,Simulated Security 15243,RO,Industrials,Canada,-0.942021254
15244,Simulated Security 15244,OYAL,Industrials,United States,42.73083929
15245,Simulated Security 15245,YALL,Technology,Canada,16.98715232
15246,Simulated Security 15246,A,Industrials,Canada,-1.271664912
15247,Simulated Security 15247,LLI,Industrials,Canada,0.067317473
15248,Simulated Security 15248,LIP,Industrials,Canada,0.260693934
15249,Simulated Security 15249,IPL,Industrials,Canada,5.907673118
15250,Simulated Security 15250,PLZH,Industrials,United States,-0.531465274
15251,Simulated Security 15251,LZH,Technology,United States,-1.281203559
15252,Simulated Security 15252,ZH,Technology,Canada,1.092091913
15253,Simulated Security 15253,HR,Financials,Canada,5.570489054
15254,Simulated Security 15254,RVI,Financials,Canada,-1.812175189
15255,Simulated Security 15255,VIK,Industrials,Canada,-1.093255705
15256,Simulated Security 15256,IKW,Industrials,Canada,1.221578025
15257,Simulated Security 15257,KWC,Financials,United States,1.690403513
15258,Simulated Security 15258,WCVY,Technology,United States,0.343077624
15259,Simulated Security 15259,C,Financials,Canada,2.220310561
15260,Simulated Security 15260,VY,Financials,United States,22.0483542
15261,Simulated Security 15261,YBK,Technology,Canada,-1.196391825
15262,Simulated Security 15262,B,Industrials,Canada,0.860286516
15263,Simulated Security 15263,KLR,Industrials,United States,4.049602226
15264,Simulated Security 15264,LRR,Financials,Canada,3.174599208
15265,Simulated Security 15265,RR,Financials,Canada,1.853258649
15266,Simulated Security 15266,RIWJ,Industrials,United States,1.344180216
15267,Simulated Security 15267,IWJ,Financials,Canada,0.145472705
15268,Simulated Security 15268,W,Industrials,United States,1.603122796
15269,Simulated Security 15269,JTX,Financials,United States,-2.487622239
15270,Simulated Security 15270,T,Financials,United States,9.160682311
15271,Simulated Security 15271,X,Technology,United States,-1.372452444
15272,Simulated Security 15272,D,Financials,Canada,-1.81261134
15273,Simulated Security 15273,RO,Industrials,Canada,6.010063945
15274,Simulated Security 15274,OZCA,Financials,United States,9.510956422
15275,Simulated Security 15275,ZCA,Technology,United States,-0.978730252
15276,Simulated Security 15276,C,Technology,Canada,2.327252844
15277,Simulated Security 15277,A,Financials,United States,1.214657789
15278,Simulated Security 15278,UVUZ,Financials,Canada,-1.788912316
15279,Simulated Security 15279,V,Financials,United States,-1.298339716
15280,Simulated Security 15280,UZF,Technology,United States,-1.280564901
15281,Simulated Security 15281,ZF,Technology,United States,-0.266758787
15282,Simulated Security 15282,FC,Technology,Canada,6.431052106
15283,Simulated Security 15283,C,Industrials,Canada,1.978042407
15284,Simulated Security 15284,ZOW,Industrials,United States,-1.548489098
15285,Simulated Security 15285,OWYF,Financials,United States,-1.109386065
15286,Simulated Security 15286,WY,Financials,United States,0.585086664
15287,Simulated Security 15287,Y,Technology,Canada,34.55556557
15288,Simulated Security 15288,FN,Industrials,Canada,-1.720955172
15289,Simulated Security 15289,NZZI,Industrials,United States,12.32095799
15290,Simulated Security 15290,ZZI,Technology,Canada,2.54254022
15291,Simulated Security 15291,Z,Industrials,United States,4.502670935
15292,Simulated Security 15292,IDQ,Technology,Canada,0.160537634
15293,Simulated Security 15293,D,Financials,United States,0.51661341
15294,Simulated Security 15294,QHNE,Technology,Canada,7.581879293
15295,Simulated Security 15295,HN,Industrials,United States,0.218007299
15296,Simulated Security 15296,NERL,Technology,United States,-0.561854134
15297,Simulated Security 15297,ER,Financials,Canada,0.208699498
15298,Simulated Security 15298,RL,Industrials,United States,-2.085514044
15299,Simulated Security 15299,LAS,Technology,Canada,7.714780595
15300,Simulated Security 15300,A,Financials,United States,4.430229262
15301,Simulated Security 15301,SHDD,Technology,United States,-0.861986291
15302,Simulated Security 15302,HD,Technology,United States,-1.023975446
15303,Simulated Security 15303,D,Technology,United States,1.224386383
15304,Simulated Security 15304,D,Technology,United States,0.731342201
15305,Simulated Security 15305,B,Technology,United States,4.170210492
15306,Simulated Security 15306,D,Financials,United States,5.979823385
15307,Simulated Security 15307,U,Technology,United States,7.118673886
15308,Simulated Security 15308,D,Technology,United States,-0.665603455
15309,Simulated Security 15309,FA,Technology,Canada,7.820957489
15310,Simulated Security 15310,A,Industrials,United States,-1.37856318
15311,Simulated Security 15311,JCQ,Technology,Canada,4.728744252
15312,Simulated Security 15312,C,Financials,Canada,-0.973847036
15313,Simulated Security 15313,QVY,Financials,Canada,-0.923206072
15314,Simulated Security 15314,VYVV,Industrials,United States,-1.521402672
15315,Simulated Security 15315,YVV,Financials,Canada,-1.166359101
15316,Simulated Security 15316,VV,Financials,Canada,0.407368331
15317,Simulated Security 15317,VLCB,Industrials,United States,-1.319542033
15318,Simulated Security 15318,LCB,Technology,United States,-1.270961381
15319,Simulated Security 15319,C,Technology,Canada,13.5137504
15320,Simulated Security 15320,B,Industrials,United States,1.742767453
15321,Simulated Security 15321,PGXD,Technology,United States,-0.60519455
15322,Simulated Security 15322,GX,Financials,United States,-0.863939559
15323,Simulated Security 15323,XD,Technology,Canada,6.543749978
15324,Simulated Security 15324,D,Financials,United States,2.202850651
15325,Simulated Security 15325,TZW,Financials,Canada,-0.645610768
15326,Simulated Security 15326,Z,Financials,United States,-1.4336053
15327,Simulated Security 15327,WHIF,Technology,Canada,0.611784772
15328,Simulated Security 15328,HI,Industrials,United States,-2.13410695
15329,Simulated Security 15329,IFJ,Technology,Canada,-0.134996924
15330,Simulated Security 15330,FJ,Industrials,United States,5.063050932
15331,Simulated Security 15331,JBH,Technology,United States,1.905017098
15332,Simulated Security 15332,B,Technology,Canada,1.866385244
15333,Simulated Security 15333,HZ,Industrials,United States,5.223163822
15334,Simulated Security 15334,ZRI,Financials,Canada,0.896411255
15335,Simulated Security 15335,R,Industrials,United States,4.085355513
15336,Simulated Security 15336,IAW,Technology,Canada,2.528952439
15337,Simulated Security 15337,A,Financials,United States,0.810797693
15338,Simulated Security 15338,WZHH,Technology,United States,-1.684520921
15339,Simulated Security 15339,ZH,Technology,United States,-1.44048248
15340,Simulated Security 15340,HH,Technology,Canada,0.08672163
15341,Simulated Security 15341,HZ,Industrials,Canada,2.631614438
15342,Simulated Security 15342,ZTNS,Financials,Canada,-0.763297378
15343,Simulated Security 15343,TNS,Industrials,United States,11.14833317
15344,Simulated Security 15344,NSNR,Financials,Canada,-1.195791829
15345,Simulated Security 15345,SN,Industrials,United States,5.371892211
15346,Simulated Security 15346,NRWD,Financials,Canada,8.187188327
15347,Simulated Security 15347,RW,Financials,United States,-0.828390416
15348,Simulated Security 15348,WDP,Technology,Canada,0.306165579
15349,Simulated Security 15349,D,Industrials,United States,6.253154154
15350,Simulated Security 15350,PHGG,Technology,United States,0.812445821
15351,Simulated Security 15351,HG,Technology,United States,1.232993671
15352,Simulated Security 15352,GG,Technology,Canada,0.425344156
15353,Simulated Security 15353,GP,Industrials,Canada,2.166043439
15354,Simulated Security 15354,PPZW,Industrials,United States,2.163933392
15355,Simulated Security 15355,PZWI,Technology,United States,-1.107507706
15356,Simulated Security 15356,ZW,Financials,Canada,-1.100138801
15357,Simulated Security 15357,W,Industrials,United States,1.187291651
15358,Simulated Security 15358,IUW,Financials,United States,5.558423966
15359,Simulated Security 15359,U,Financials,United States,-1.822629633
15360,Simulated Security 15360,WD,Technology,Canada,2.675024784
15361,Simulated Security 15361,D,Industrials,Canada,2.61758491
15362,Simulated Security 15362,KZQ,Industrials,Canada,0.770193041
15363,Simulated Security 15363,ZQOH,Financials,Canada,0.305585846
15364,Simulated Security 15364,QOHS,Industrials,United States,-0.570820168
15365,Simulated Security 15365,OHSR,Technology,Canada,0.501998575
15366,Simulated Security 15366,HS,Financials,Canada,10.45961432
15367,Simulated Security 15367,SRLT,Financials,Canada,3.128988459
15368,Simulated Security 15368,RLT,Industrials,United States,-0.750083476
15369,Simulated Security 15369,LTU,Financials,United States,-0.535699174
15370,Simulated Security 15370,TU,Financials,United States,8.802310804
15371,Simulated Security 15371,U,Technology,United States,6.792675182
15372,Simulated Security 15372,GE,Technology,United States,0.377909634
15373,Simulated Security 15373,EA,Technology,United States,0.842679675
15374,Simulated Security 15374,A,Technology,United States,0.694554203
15375,Simulated Security 15375,Z,Technology,Canada,-0.685286575
15376,Simulated Security 15376,FV,Financials,United States,2.31799537
15377,Simulated Security 15377,VHXP,Technology,Canada,3.670467686
15378,Simulated Security 15378,HX,Financials,Canada,-1.077373367
15379,Simulated Security 15379,XPLC,Industrials,Canada,58.14691889
15380,Simulated Security 15380,PLCF,Industrials,United States,3.734610616
15381,Simulated Security 15381,LCF,Technology,United States,-0.265721252
15382,Simulated Security 15382,C,Technology,United States,24.40666034
15383,Simulated Security 15383,FA,Technology,United States,9.459527268
15384,Simulated Security 15384,A,Financials,United States,-0.589765916
15385,Simulated Security 15385,Q,Financials,Canada,5.759321816
15386,Simulated Security 15386,U,Industrials,United States,0.004655935
15387,Simulated Security 15387,PRFN,Financials,United States,-1.114986606
15388,Simulated Security 15388,RF,Technology,Canada,0.151276852
15389,Simulated Security 15389,FN,Industrials,Canada,6.36941507
15390,Simulated Security 15390,NMUR,Industrials,United States,-0.962113112
15391,Simulated Security 15391,MURL,Financials,United States,8.113292525
15392,Simulated Security 15392,U,Financials,Canada,41.82665272
15393,Simulated Security 15393,RL,Industrials,Canada,-0.063848122
15394,Simulated Security 15394,LQF,Financials,United States,2.461669818
15395,Simulated Security 15395,QFZ,Technology,United States,10.12126216
15396,Simulated Security 15396,FZ,Technology,Canada,5.756375336
15397,Simulated Security 15397,ZQ,Financials,Canada,-0.549931589
15398,Simulated Security 15398,QJSO,Industrials,Canada,0.022455929
15399,Simulated Security 15399,JSO,Financials,Canada,-1.549313799
15400,Simulated Security 15400,SOCR,Industrials,United States,15.96880484
15401,Simulated Security 15401,OCRQ,Technology,United States,-2.059740695
15402,Simulated Security 15402,C,Financials,Canada,2.406555047
15403,Simulated Security 15403,R,Financials,Canada,-2.037715516
15404,Simulated Security 15404,QNKC,Industrials,Canada,3.89979462
15405,Simulated Security 15405,NKCG,Industrials,United States,78.15335533
15406,Simulated Security 15406,KCG,Technology,United States,9.390292105
15407,Simulated Security 15407,C,Technology,Canada,4.807627017
15408,Simulated Security 15408,GM,Industrials,Canada,4.268395258
15409,Simulated Security 15409,MMXA,Industrials,Canada,1.024454007
15410,Simulated Security 15410,MXAG,Financials,United States,9.315893054
15411,Simulated Security 15411,XAG,Technology,United States,-1.662548675
15412,Simulated Security 15412,A,Technology,Canada,-10.75993314
15413,Simulated Security 15413,GJ,Industrials,Canada,1.897931641
15414,Simulated Security 15414,JKY,Industrials,United States,6.740393413
15415,Simulated Security 15415,KYF,Technology,United States,1.048501672
15416,Simulated Security 15416,YF,Technology,United States,-0.809749938
15417,Simulated Security 15417,FG,Technology,United States,1.412826293
15418,Simulated Security 15418,GT,Financials,United States,4.210535021
15419,Simulated Security 15419,TZ,Financials,United States,21.69791537
15420,Simulated Security 15420,Z,Technology,Canada,-1.420369792
15421,Simulated Security 15421,GO,Industrials,Canada,-0.958280779
15422,Simulated Security 15422,OIKU,Industrials,Canada,-2.510968725
15423,Simulated Security 15423,IKU,Industrials,Canada,7.154363793
15424,Simulated Security 15424,KUG,Financials,United States,0.402345353
15425,Simulated Security 15425,UGV,Technology,Canada,-0.563892038
15426,Simulated Security 15426,GV,Financials,Canada,4.00406214
15427,Simulated Security 15427,VPWF,Industrials,Canada,-1.252672306
15428,Simulated Security 15428,PWFD,Financials,United States,0.640826933
15429,Simulated Security 15429,WFD,Technology,United States,-0.07159583
15430,Simulated Security 15430,FD,Technology,United States,-1.283173602
15431,Simulated Security 15431,D,Technology,Canada,-0.006071117
15432,Simulated Security 15432,B,Industrials,United States,-0.978643098
15433,Simulated Security 15433,IAW,Technology,United States,0.113872905
15434,Simulated Security 15434,A,Financials,United States,-33.22547419
15435,Simulated Security 15435,W,Technology,Canada,3.080428983
15436,Simulated Security 15436,FM,Industrials,United States,-0.723155921
15437,Simulated Security 15437,MQDC,Financials,United States,3.549587735
15438,Simulated Security 15438,Q,Technology,United States,6.213201989
15439,Simulated Security 15439,D,Technology,United States,36.83893363
15440,Simulated Security 15440,C,Financials,United States,-0.156181955
15441,Simulated Security 15441,U,Technology,United States,-1.248418107
15442,Simulated Security 15442,FA,Technology,Canada,3.751521513
15443,Simulated Security 15443,A,Industrials,United States,-1.19457226
15444,Simulated Security 15444,MAKW,Technology,Canada,0.570783214
15445,Simulated Security 15445,A,Industrials,United States,-1.008046958
15446,Simulated Security 15446,KWT,Financials,Canada,-0.022612156
15447,Simulated Security 15447,WT,Financials,Canada,-0.706179409
15448,Simulated Security 15448,TZEB,Financials,United States,-1.593127858
15449,Simulated Security 15449,ZEB,Technology,United States,101.8082319
15450,Simulated Security 15450,EB,Technology,Canada,2.694502323
15451,Simulated Security 15451,B,Industrials,Canada,1.920564401
15452,Simulated Security 15452,OUHK,Financials,United States,4.812992098
