isin,name,fee,geography,strategy,risk,5y_sharpe
30070,Simulated Security 30070,0.003,Canada,Value,Low,3.031622497
30071,Simulated Security 30071,0.01,Canada,Income,Low,6.916180734
30072,Simulated Security 30072,0.014,United States,Growth,High,8.379788801
30073,Simulated Security 30073,0.006,United States,Growth,Low,0.940030296
30074,Simulated Security 30074,0.016,United States,Growth,Low,-2.68321964
30075,Simulated Security 30075,0.013,United States,Balanced,Medium,2.618939572
30076,Simulated Security 30076,0.001,Canada,Value,Medium,-2.93700907
30077,Simulated Security 30077,0.014,Canada,Balanced,Low,-0.751732834
30078,Simulated Security 30078,0.014,Canada,Income,Medium,4.931554479
30079,Simulated Security 30079,0.006,United States,Value,Medium,0.46425016
30080,Simulated Security 30080,0.017,Canada,Balanced,Medium,0.744147201
30081,Simulated Security 30081,0.011,Canada,Value,High,0.650262482
30082,Simulated Security 30082,0.016,Canada,Growth,Medium,3.162514629
30083,Simulated Security 30083,0.008,United States,Value,Low,-2.012524263
30084,Simulated Security 30084,0.006,Canada,Value,Low,5.962870834
30085,Simulated Security 30085,0.018,Canada,Income,High,-0.607115052
30086,Simulated Security 30086,0.006,United States,Growth,High,-2.871936556
30087,Simulated Security 30087,0.013,United States,Income,Low,3.598801823
30088,Simulated Security 30088,0.012,United States,Balanced,High,5.026532398
30089,Simulated Security 30089,0.002,Canada,Income,High,3.138466159
30090,Simulated Security 30090,0.015,United States,Income,Low,-0.882179553
30091,Simulated Security 30091,0.013,United States,Balanced,Low,6.460459098
30092,Simulated Security 30092,0.017,Canada,Value,Medium,-1.639687164
30093,Simulated Security 30093,0.003,Canada,Value,Medium,3.046690858
30094,Simulated Security 30094,0.02,Canada,Value,Low,-1.305862193
30095,Simulated Security 30095,0.011,Canada,Growth,Low,-1.798409835
30096,Simulated Security 30096,0.006,United States,Growth,Medium,-0.847316204
30097,Simulated Security 30097,0.017,United States,Value,Low,3.401994934
30098,Simulated Security 30098,0.015,Canada,Income,Medium,-3.149705502
30099,Simulated Security 30099,0.012,United States,Balanced,Low,1.732201927
30100,Simulated Security 30100,0.006,Canada,Balanced,Low,-1.199858745
30101,Simulated Security 30101,0.013,Canada,Income,Medium,3.634562832
30102,Simulated Security 30102,0.008,United States,Value,Low,-2.510253143
30103,Simulated Security 30103,0.016,Canada,Growth,Medium,1.278202372
30104,Simulated Security 30104,0.014,United States,Value,High,-0.152854936
30105,Simulated Security 30105,0.007,Canada,Income,High,-0.663349276
30106,Simulated Security 30106,0.01,United States,Income,Medium,3.571720398
30107,Simulated Security 30107,0.006,United States,Value,High,-2.83100393
30108,Simulated Security 30108,0.003,Canada,Income,Medium,-0.968722573
30109,Simulated Security 30109,0.017,United States,Value,High,-0.718698473
30110,Simulated Security 30110,0.006,Canada,Income,Medium,0.361247209
30111,Simulated Security 30111,0.003,United States,Value,Medium,-0.816872667
30112,Simulated Security 30112,0.005,Canada,Balanced,High,0.913400029
30113,Simulated Security 30113,0.015,Canada,Income,High,-2.726461221
30114,Simulated Security 30114,0.007,United States,Growth,High,7.291292416
30115,Simulated Security 30115,0.018,United States,Growth,Low,0.402766872
30116,Simulated Security 30116,0.005,United States,Balanced,Low,0.404009089
30117,Simulated Security 30117,0.002,Canada,Income,High,0.385579038
30118,Simulated Security 30118,0,United States,Growth,High,1.448048098
30119,Simulated Security 30119,0.011,United States,Growth,High,5.713243203
30120,Simulated Security 30120,0.017,United States,Income,Low,1.065629101
30121,Simulated Security 30121,0,United States,Value,Medium,-2.165391364
30122,Simulated Security 30122,0.016,Canada,Balanced,Low,4.29325579
30123,Simulated Security 30123,0.02,Canada,Balanced,High,1.980201278
30124,Simulated Security 30124,0.011,Canada,Growth,High,-1.728778936
30125,Simulated Security 30125,0.017,United States,Income,Medium,1.001211748
30126,Simulated Security 30126,0.01,United States,Value,Medium,0.172479895
30127,Simulated Security 30127,0.016,Canada,Value,Medium,1.165622815
30128,Simulated Security 30128,0.016,Canada,Balanced,Low,1.241815577
30129,Simulated Security 30129,0.005,Canada,Balanced,High,6.240180016
30130,Simulated Security 30130,0.006,Canada,Growth,High,1.183850124
30131,Simulated Security 30131,0.009,United States,Growth,High,0.444402028
30132,Simulated Security 30132,0.013,United States,Income,Low,-0.425604195
30133,Simulated Security 30133,0.02,United States,Income,High,11.2855487
30134,Simulated Security 30134,0.017,United States,Growth,Low,2.344724909
30135,Simulated Security 30135,0.003,United States,Growth,Low,1.093223978
30136,Simulated Security 30136,0.013,United States,Balanced,High,-0.880559774
30137,Simulated Security 30137,0.001,Canada,Income,Low,-2.467046613
30138,Simulated Security 30138,0.017,United States,Income,Medium,-1.152231094
30139,Simulated Security 30139,0.012,United States,Balanced,Low,-2.801216043
30140,Simulated Security 30140,0.005,Canada,Balanced,Medium,2.61385717
30141,Simulated Security 30141,0.012,Canada,Balanced,High,2.18838447
30142,Simulated Security 30142,0.008,Canada,Income,Medium,0.413554782
30143,Simulated Security 30143,0.013,United States,Balanced,Medium,2.990287709
30144,Simulated Security 30144,0.008,Canada,Balanced,High,-0.485736092
30145,Simulated Security 30145,0.003,Canada,Growth,Low,3.09478424
30146,Simulated Security 30146,0.008,United States,Income,High,1.300883089
30147,Simulated Security 30147,0.009,United States,Growth,Low,3.394798626
30148,Simulated Security 30148,0.001,United States,Balanced,Low,-4.80354623
30149,Simulated Security 30149,0.014,Canada,Growth,High,5.335554459
30150,Simulated Security 30150,0.002,United States,Income,Medium,1.656729151
30151,Simulated Security 30151,0.013,United States,Value,High,6.644677091
30152,Simulated Security 30152,0.013,Canada,Income,Low,-0.19050268
30153,Simulated Security 30153,0.003,United States,Value,Medium,-1.943420503
30154,Simulated Security 30154,0.007,Canada,Balanced,High,-4.448567954
30155,Simulated Security 30155,0.004,Canada,Income,High,-0.131215751
30156,Simulated Security 30156,0.012,United States,Growth,Low,4.640746924
30157,Simulated Security 30157,0.01,United States,Balanced,Low,0.750531974
30158,Simulated Security 30158,0.004,Canada,Value,Low,4.341636286
30159,Simulated Security 30159,0,Canada,Growth,Medium,-3.630585388
30160,Simulated Security 30160,0.015,United States,Value,Low,-1.697875875
30161,Simulated Security 30161,0.016,Canada,Growth,Low,-0.334317326
30162,Simulated Security 30162,0.019,United States,Growth,Low,3.510556058
30163,Simulated Security 30163,0.005,United States,Income,High,3.26668464
30164,Simulated Security 30164,0.014,United States,Income,Low,2.091932745
30165,Simulated Security 30165,0.014,United States,Growth,Medium,8.19088808
30166,Simulated Security 30166,0.011,United States,Balanced,Low,1.183499733
30167,Simulated Security 30167,0.003,Canada,Value,Low,2.701539134
30168,Simulated Security 30168,0.01,Canada,Growth,Low,-2.163166193
30169,Simulated Security 30169,0.009,United States,Income,High,0.960772307
30170,Simulated Security 30170,0.013,United States,Income,Medium,3.261794937
30171,Simulated Security 30171,0.012,United States,Balanced,Medium,2.752138115
30172,Simulated Security 30172,0.011,Canada,Value,Low,2.827423215
30173,Simulated Security 30173,0.005,Canada,Growth,High,0.247124704
30174,Simulated Security 30174,0.009,United States,Growth,Low,-3.634956967
30175,Simulated Security 30175,0.005,United States,Value,Low,-0.98703302
30176,Simulated Security 30176,0.011,Canada,Value,Medium,1.189238245
30177,Simulated Security 30177,0.002,Canada,Value,Medium,-3.854432329
30178,Simulated Security 30178,0.012,Canada,Value,Low,2.15861939
30179,Simulated Security 30179,0.011,Canada,Growth,High,-0.390359282
30180,Simulated Security 30180,0.005,United States,Income,Low,-3.462715446
30181,Simulated Security 30181,0.007,United States,Balanced,High,-2.415052833
30182,Simulated Security 30182,0.012,Canada,Income,Medium,17.24883587
30183,Simulated Security 30183,0.005,United States,Value,Medium,-0.263305519
30184,Simulated Security 30184,0.012,Canada,Balanced,Low,-0.994743025
30185,Simulated Security 30185,0.004,Canada,Balanced,Low,-0.299506866
30186,Simulated Security 30186,0.005,Canada,Growth,Low,-0.781917049
30187,Simulated Security 30187,0.01,United States,Value,Medium,-2.858241499
30188,Simulated Security 30188,0.01,Canada,Value,High,0.356108021
30189,Simulated Security 30189,0.016,Canada,Income,High,1.257004605
30190,Simulated Security 30190,0.015,United States,Income,Low,-0.538983781
30191,Simulated Security 30191,0.006,United States,Growth,Low,0.011868705
30192,Simulated Security 30192,0.005,United States,Income,Medium,5.616918336
30193,Simulated Security 30193,0.016,United States,Value,High,1.802711283
30194,Simulated Security 30194,0.013,Canada,Income,Low,2.895234573
30195,Simulated Security 30195,0.018,United States,Balanced,High,-0.987152295
30196,Simulated Security 30196,0.006,Canada,Growth,Medium,-1.764930006
30197,Simulated Security 30197,0.016,United States,Balanced,Low,1.520196363
30198,Simulated Security 30198,0.012,Canada,Value,Medium,3.272320105
30199,Simulated Security 30199,0.002,Canada,Balanced,Low,-0.934248144
30200,Simulated Security 30200,0.008,Canada,Balanced,Low,-0.70222708
30201,Simulated Security 30201,0.012,Canada,Growth,Medium,-0.517334659
30202,Simulated Security 30202,0.01,United States,Balanced,Medium,11.96746454
30203,Simulated Security 30203,0.018,Canada,Value,Medium,-1.778478547
30204,Simulated Security 30204,0.016,Canada,Balanced,High,2.535336703
30205,Simulated Security 30205,0.01,Canada,Growth,Medium,3.405927931
30206,Simulated Security 30206,0.018,United States,Value,Low,-0.733109487
30207,Simulated Security 30207,0.009,Canada,Growth,Medium,4.121407563
30208,Simulated Security 30208,0.018,United States,Value,Low,3.561569149
30209,Simulated Security 30209,0.005,Canada,Value,High,-4.107313008
30210,Simulated Security 30210,0.01,Canada,Growth,Medium,0.807820845
30211,Simulated Security 30211,0.016,United States,Balanced,Medium,-0.029108403
30212,Simulated Security 30212,0.011,Canada,Balanced,Low,5.177457121
30213,Simulated Security 30213,0.02,Canada,Income,Low,-0.348440957
30214,Simulated Security 30214,0.008,United States,Growth,Low,-0.193727041
30215,Simulated Security 30215,0.008,United States,Growth,Medium,2.802945103
30216,Simulated Security 30216,0.015,United States,Balanced,Medium,3.529412354
30217,Simulated Security 30217,0.011,Canada,Value,Low,3.127453659
30218,Simulated Security 30218,0.012,Canada,Growth,Medium,-1.016241211
30219,Simulated Security 30219,0.017,United States,Value,Medium,10.56442482
30220,Simulated Security 30220,0.006,Canada,Balanced,Medium,3.804859997
30221,Simulated Security 30221,0.013,Canada,Value,High,-1.762464462
30222,Simulated Security 30222,0.006,Canada,Growth,Medium,-3.192816499
30223,Simulated Security 30223,0.01,United States,Balanced,Low,0.197329653
30224,Simulated Security 30224,0.007,Canada,Balanced,Medium,0.860481843
30225,Simulated Security 30225,0,Canada,Value,Low,3.490590343
30226,Simulated Security 30226,0.015,Canada,Balanced,Medium,-1.242801194
30227,Simulated Security 30227,0.015,Canada,Value,Low,-1.140982177
30228,Simulated Security 30228,0.006,Canada,Income,Medium,0.387099864
30229,Simulated Security 30229,0.014,United States,Balanced,Low,-0.950629928
30230,Simulated Security 30230,0.015,Canada,Growth,High,-3.267451332
30231,Simulated Security 30231,0.015,United States,Income,Medium,0.032775114
30232,Simulated Security 30232,0.02,United States,Balanced,Medium,14.99871716
30233,Simulated Security 30233,0.013,Canada,Balanced,Medium,3.822737998
30234,Simulated Security 30234,0.003,Canada,Balanced,Low,3.138919405
30235,Simulated Security 30235,0.008,Canada,Income,Medium,0.466264512
30236,Simulated Security 30236,0.008,United States,Value,High,-2.860255395
30237,Simulated Security 30237,0.01,Canada,Income,Medium,2.378309806
30238,Simulated Security 30238,0.017,United States,Value,High,-2.305036569
30239,Simulated Security 30239,0.006,Canada,Income,Low,1.480387274
30240,Simulated Security 30240,0.003,United States,Value,High,0.543841391
30241,Simulated Security 30241,0.006,Canada,Income,Low,-3.581507971
30242,Simulated Security 30242,0.003,United States,Growth,High,1.060866151
30243,Simulated Security 30243,0.013,United States,Income,High,1.103240923
30244,Simulated Security 30244,0.004,United States,Income,Low,2.439809781
30245,Simulated Security 30245,0.012,United States,Value,Medium,0.001540613
30246,Simulated Security 30246,0.019,Canada,Value,Low,-0.13552557
30247,Simulated Security 30247,0.004,Canada,Income,Medium,0.079639665
30248,Simulated Security 30248,0.013,United States,Balanced,Medium,-1.225776696
30249,Simulated Security 30249,0.006,Canada,Balanced,High,-2.13546975
30250,Simulated Security 30250,0.014,Canada,Income,Medium,-3.357323697
30251,Simulated Security 30251,0.01,United States,Balanced,High,5.045755737
30252,Simulated Security 30252,0.009,Canada,Income,Medium,-0.940759008
30253,Simulated Security 30253,0.003,United States,Value,Low,1.375302961
30254,Simulated Security 30254,0.01,Canada,Balanced,Low,2.368158319
30255,Simulated Security 30255,0.019,Canada,Growth,Medium,4.70632383
30256,Simulated Security 30256,0.016,United States,Value,Medium,-0.241835533
30257,Simulated Security 30257,0.019,Canada,Balanced,High,9.176833877
30258,Simulated Security 30258,0.013,Canada,Income,Low,0.794087709
30259,Simulated Security 30259,0.005,United States,Value,Medium,1.268328773
30260,Simulated Security 30260,0.01,Canada,Value,Low,2.121498169
30261,Simulated Security 30261,0.016,Canada,Balanced,Medium,-0.218756474
30262,Simulated Security 30262,0.017,Canada,Balanced,High,2.559450144
30263,Simulated Security 30263,0.006,Canada,Income,Medium,3.544344859
30264,Simulated Security 30264,0.014,United States,Balanced,High,-0.013234319
30265,Simulated Security 30265,0.008,Canada,Growth,Low,1.705431692
30266,Simulated Security 30266,0.017,United States,Growth,High,-1.753422377
30267,Simulated Security 30267,0.008,United States,Income,Low,0.278065717
30268,Simulated Security 30268,0.002,United States,Income,High,0.67360563
30269,Simulated Security 30269,0.011,United States,Income,High,-0.24541422
30270,Simulated Security 30270,0.004,United States,Growth,Medium,0.670486337
30271,Simulated Security 30271,0.016,United States,Balanced,Medium,-2.460228881
30272,Simulated Security 30272,0.004,Canada,Balanced,Medium,0.468566945
30273,Simulated Security 30273,0.002,Canada,Value,Low,-3.233569035
30274,Simulated Security 30274,0.009,Canada,Value,High,2.243274462
30275,Simulated Security 30275,0.008,Canada,Income,Low,2.242032813
30276,Simulated Security 30276,0.005,United States,Balanced,Low,-1.020384271
30277,Simulated Security 30277,0.017,Canada,Income,High,16.32194741
30278,Simulated Security 30278,0.003,United States,Income,Medium,-4.561970167
30279,Simulated Security 30279,0.012,United States,Balanced,Medium,5.079497528
30280,Simulated Security 30280,0.012,Canada,Balanced,Medium,1.118983209
30281,Simulated Security 30281,0.003,Canada,Value,High,-2.222659209
30282,Simulated Security 30282,0.009,Canada,Growth,High,-1.590998418
30283,Simulated Security 30283,0.018,United States,Income,Low,-1.317993992
30284,Simulated Security 30284,0.007,United States,Income,Medium,2.24865716
30285,Simulated Security 30285,0.015,United States,Value,Medium,-0.367341921
30286,Simulated Security 30286,0.02,Canada,Balanced,High,-0.279026897
30287,Simulated Security 30287,0.012,Canada,Income,Low,4.600526352
30288,Simulated Security 30288,0.019,United States,Income,Medium,2.538656467
30289,Simulated Security 30289,0.01,United States,Balanced,Low,3.750917036
30290,Simulated Security 30290,0.004,Canada,Value,Medium,1.963898631
30291,Simulated Security 30291,0.012,Canada,Value,Low,6.789759
30292,Simulated Security 30292,0.018,Canada,Balanced,High,1.568886428
30293,Simulated Security 30293,0.012,Canada,Income,Low,3.790626799
30294,Simulated Security 30294,0.007,United States,Income,Low,3.704726903
30295,Simulated Security 30295,0.01,United States,Value,High,-0.794639452
30296,Simulated Security 30296,0.003,Canada,Growth,High,4.095713838
30297,Simulated Security 30297,0.013,United States,Income,Medium,5.089875365
30298,Simulated Security 30298,0.012,United States,Value,Low,12.31705024
30299,Simulated Security 30299,0.001,Canada,Balanced,Low,-0.857218731
30300,Simulated Security 30300,0.015,Canada,Growth,Low,-2.333734901
30301,Simulated Security 30301,0.018,United States,Value,High,9.979815179
30302,Simulated Security 30302,0.015,Canada,Income,Medium,-0.561478355
30303,Simulated Security 30303,0.013,United States,Balanced,High,-0.938633823
30304,Simulated Security 30304,0.013,Canada,Growth,Medium,1.41234122
30305,Simulated Security 30305,0.003,United States,Balanced,Low,-0.616006957
30306,Simulated Security 30306,0.008,Canada,Value,Medium,1.019717069
30307,Simulated Security 30307,0.001,Canada,Balanced,Medium,-2.337019883
30308,Simulated Security 30308,0.02,Canada,Value,Low,-0.531947694
30309,Simulated Security 30309,0.012,Canada,Value,Medium,1.56982074
30310,Simulated Security 30310,0.008,Canada,Balanced,Medium,2.974642015
30311,Simulated Security 30311,0.007,Canada,Value,Medium,-4.237171354
30312,Simulated Security 30312,0.015,Canada,Balanced,Low,3.904333718
30313,Simulated Security 30313,0.008,Canada,Growth,High,-1.163368
30314,Simulated Security 30314,0.005,United States,Income,Low,3.784644546
30315,Simulated Security 30315,0.009,United States,Value,Medium,-0.517760495
30316,Simulated Security 30316,0.016,Canada,Balanced,High,-0.774364082
30317,Simulated Security 30317,0.004,Canada,Growth,Medium,1.156088668
30318,Simulated Security 30318,0.01,United States,Value,Medium,0.742625475
30319,Simulated Security 30319,0.008,Canada,Value,High,-3.845211033
30320,Simulated Security 30320,0.001,Canada,Growth,High,-1.979412922
30321,Simulated Security 30321,0.006,United States,Growth,Medium,0.899166869
30322,Simulated Security 30322,0.006,United States,Value,Low,-1.362495061
30323,Simulated Security 30323,0.02,Canada,Balanced,High,-1.590490607
30324,Simulated Security 30324,0.019,Canada,Growth,Low,-1.248013419
30325,Simulated Security 30325,0.017,United States,Value,Low,9.034510635
30326,Simulated Security 30326,0.012,Canada,Growth,High,-1.462007429
30327,Simulated Security 30327,0.017,United States,Income,High,-0.241164163
30328,Simulated Security 30328,0.011,United States,Income,Medium,0.335044789
30329,Simulated Security 30329,0.013,United States,Balanced,High,3.373733279
30330,Simulated Security 30330,0.003,Canada,Growth,Low,0.040964633
30331,Simulated Security 30331,0.005,United States,Growth,Medium,4.034485935
30332,Simulated Security 30332,0.009,United States,Value,High,3.69742624
30333,Simulated Security 30333,0.019,Canada,Growth,High,-1.315577785
30334,Simulated Security 30334,0.019,United States,Income,High,-2.312794279
30335,Simulated Security 30335,0.006,United States,Income,Medium,-1.462026382
30336,Simulated Security 30336,0.018,United States,Value,High,-0.470454288
30337,Simulated Security 30337,0.005,Canada,Growth,High,2.172903107
30338,Simulated Security 30338,0.004,United States,Growth,High,8.395748075
30339,Simulated Security 30339,0.007,United States,Growth,Medium,1.829870042
30340,Simulated Security 30340,0.002,United States,Balanced,Medium,1.698964183
30341,Simulated Security 30341,0.001,Canada,Value,Low,-1.016685503
30342,Simulated Security 30342,0.001,Canada,Balanced,Medium,0.097292206
30343,Simulated Security 30343,0.01,Canada,Balanced,High,1.267353477
30344,Simulated Security 30344,0.005,Canada,Income,High,2.173968432
30345,Simulated Security 30345,0.011,United States,Income,Low,-1.415578725
30346,Simulated Security 30346,0.01,United States,Growth,High,-1.658960498
30347,Simulated Security 30347,0.003,United States,Growth,Medium,-1.387656982
30348,Simulated Security 30348,0.004,United States,Value,Medium,-1.973248752
30349,Simulated Security 30349,0.01,Canada,Balanced,High,6.167288995
30350,Simulated Security 30350,0.001,Canada,Growth,High,0.0823768
30351,Simulated Security 30351,0.006,United States,Income,Low,3.763666944
30352,Simulated Security 30352,0.02,United States,Value,Low,4.210082024
30353,Simulated Security 30353,0.001,Canada,Income,Low,-2.709968789
30354,Simulated Security 30354,0.004,United States,Value,High,-0.330456142
30355,Simulated Security 30355,0.012,Canada,Income,Medium,-1.176607787
30356,Simulated Security 30356,0.018,United States,Value,Medium,3.528374656
30357,Simulated Security 30357,0.02,Canada,Balanced,Low,-1.971017113
30358,Simulated Security 30358,0.019,Canada,Value,Medium,-1.175961349
30359,Simulated Security 30359,0.005,Canada,Balanced,Medium,2.019595827
30360,Simulated Security 30360,0.008,Canada,Value,Low,3.172733207
30361,Simulated Security 30361,0.019,Canada,Income,Low,6.424435074
30362,Simulated Security 30362,0.008,United States,Income,Low,-3.468741212
30363,Simulated Security 30363,0.006,United States,Value,High,0.76352346
30364,Simulated Security 30364,0.016,Canada,Income,Medium,0.678136087
30365,Simulated Security 30365,0.013,United States,Value,Low,2.89087502
30366,Simulated Security 30366,0.013,Canada,Growth,High,-0.527242754
30367,Simulated Security 30367,0.005,United States,Income,High,-4.002132435
30368,Simulated Security 30368,0.007,United States,Growth,Low,2.020765412
30369,Simulated Security 30369,0.015,United States,Growth,Low,3.377114499
30370,Simulated Security 30370,0.003,United States,Growth,Medium,-0.25919564
30371,Simulated Security 30371,0.018,United States,Value,High,-0.256265842
30372,Simulated Security 30372,0.012,Canada,Income,Low,-2.990318003
30373,Simulated Security 30373,0.013,United States,Growth,Medium,-0.18376148
30374,Simulated Security 30374,0.007,United States,Value,High,0.929330421
30375,Simulated Security 30375,0.005,Canada,Income,High,-0.839895367
30376,Simulated Security 30376,0.012,United States,Growth,Medium,2.914047389
30377,Simulated Security 30377,0.006,United States,Value,Low,-4.270830847
30378,Simulated Security 30378,0.004,Canada,Value,High,2.617002397
30379,Simulated Security 30379,0.001,Canada,Growth,Low,3.973667232
30380,Simulated Security 30380,0.006,United States,Value,High,0.402641139
30381,Simulated Security 30381,0.019,Canada,Growth,Low,2.015061146
30382,Simulated Security 30382,0.001,United States,Growth,High,2.661480921
30383,Simulated Security 30383,0.018,United States,Income,Medium,7.442678286
30384,Simulated Security 30384,0,United States,Value,High,-4.930620973
30385,Simulated Security 30385,0.011,Canada,Income,High,2.596214749
30386,Simulated Security 30386,0.004,United States,Growth,Medium,0.946685482
30387,Simulated Security 30387,0.016,United States,Balanced,Medium,2.001070158
30388,Simulated Security 30388,0.005,Canada,Balanced,Medium,-3.211918752
30389,Simulated Security 30389,0.001,Canada,Value,High,6.146578625
30390,Simulated Security 30390,0.017,Canada,Growth,Medium,4.538615131
30391,Simulated Security 30391,0.009,United States,Balanced,Medium,-2.947510619
30392,Simulated Security 30392,0.005,Canada,Balanced,Low,1.8644626
30393,Simulated Security 30393,0.001,Canada,Income,Low,0.626881121
30394,Simulated Security 30394,0.008,United States,Income,Medium,0.0183103
30395,Simulated Security 30395,0.01,United States,Value,Medium,6.959071863
30396,Simulated Security 30396,0.019,Canada,Balanced,High,0.903992735
30397,Simulated Security 30397,0.015,Canada,Income,High,0.811359006
30398,Simulated Security 30398,0.018,United States,Growth,Medium,-1.179987028
30399,Simulated Security 30399,0.008,United States,Balanced,Low,-1.852086859
30400,Simulated Security 30400,0.005,Canada,Growth,Low,-1.979750603
30401,Simulated Security 30401,0.016,United States,Income,Medium,0.518183628
30402,Simulated Security 30402,0.008,United States,Value,Medium,-1.498189396
30403,Simulated Security 30403,0.011,Canada,Value,Low,2.70419195
30404,Simulated Security 30404,0.012,Canada,Growth,Medium,-1.144871395
30405,Simulated Security 30405,0.006,United States,Value,Medium,5.339985452
30406,Simulated Security 30406,0.005,Canada,Balanced,Low,-2.148666953
30407,Simulated Security 30407,0.015,Canada,Value,Low,1.561284881
30408,Simulated Security 30408,0.006,Canada,Income,High,5.107206752
30409,Simulated Security 30409,0.009,United States,Growth,High,-0.750730282
30410,Simulated Security 30410,0.015,United States,Income,Low,1.614466586
30411,Simulated Security 30411,0.011,United States,Income,Low,1.412179591
30412,Simulated Security 30412,0,United States,Balanced,Low,-6.418090501
30413,Simulated Security 30413,0.004,Canada,Value,Medium,3.367993695
